送料はいくら？,こちらの商品はオンライン限定商品のため、送料は一切かかりません。安心してご注文いただけますので、どうぞお気軽にご利用ください。
会員登録はどこから？,会員登録はトップページのアカウントアイコンから”初めての方はこちら”からアカウントを作ることができます。
パスワードの再設定,パスワードをお忘れですか？パスワードを忘れた方はトップページのアカウントアイコンから”パスワードを忘れた方はこちら”からリセットできるようになります。
商品の返品,大変申し訳ありませんが商品の返品は受け付けておりません。購入前に商品情報をご確認いただき、ご理解の上でご注文いただきますようお願い申し上げます。
支払い,"JCB,Visa,Mastarcard,Apple Pay,Google Payが対応しています。"
注文履歴が見たい,マイアカウントから注文履歴を確認できます。注文履歴はトップページのプロフィールアイコンから見ることができます。
ダウンロードしたい,申し訳ありません。現在記事のオフライン保存には対応しておりません。
ポイントとは？,ポイントをためることで、記事を読むことができます！ぜひ、ポイントを貯めてお楽しみください。
記事の文字の大きさを変えたい,右上のフォントサイズを変えるボタンを押すことでフォントサイズを変えることができます。
利用料金はいくら？,ほとんどの記事はポイントを使用してお読みいただけます。ぜひ、ポイントを貯めてお気に入りの記事をお楽しみください！
ログアウトしたい,トップページのログアウトアイコンからログアウトすることができます。
購入履歴が見たい,マイアカウントから注文履歴を確認できます。注文履歴はトップページのプロフィールアイコンから見ることができます。
記事はどこから読める,購入した記事はトップページのプロフィールアイコンから読みたい記事をクリックすれば読むことができます。
カートに入れた商品を消したい,カート内の商品を削除する場合は削除したい商品の横のごみ箱アイコンを押すと消すことができます。
ポイントはどうやって使う？,ショッピングカート画面から自分の使用したいポイント数を入力することで使用することができます。
アカウントの作り方,サイトのトップページの右上にあるアカウントアイコンをクリックし、必要情報を入力してください。
出品したい,サイドバーの出品アイコンから出品することができます。
どうやって検索する,サイドバーの虫眼鏡アイコンからほしい商品を探すことができます。
アカウントを作るメリット,商品の購入や出品をするのに必要です。さらにポイントを使って記事を読むこともできるのでお得です。ぜひアカウントを作って楽しんでください！！
ポイントは何をすればたまる？,クイズに答えることでポイントがたまります。正解するとポイントが多くもらえるので頑張って答えてみてください。
プロフィールを編集したい,プロフィール画面から登録情報を変更することができます。
書籍を購入するにはどうすればいいですか？,サイトにログインし、購入したい本をカートに追加して、決済手続きを行ってください。
電子書籍のダウンロード方法を教えてください。,現在書籍のダウンロードには対応しておりません。
購入した電子書籍を返品できますか？,電子書籍の性質上、返品はできません。ただし、ファイルが壊れている場合はサポートにお問い合わせください。
電子書籍を読むにはどのアプリが必要ですか？,サイト内からいつでも読むことができます。
アカウントを作成するにはどうすればいいですか？,サイトのトップページの右上にあるアカウントアイコンをクリックし、必要情報を入力してください。
電子書籍を他のデバイスで読むことはできますか？,はい、購入した電子書籍はどんなデバイスからでも読むことができます。
購入後に電子書籍が表示されない,もう一度アカウントにログイン後、購入履歴ページを確認してください。それでも解決しない場合はサポートにご連絡ください。
おすすめの電子書籍を教えてください。,トップページの“おすすめ”セクションをご覧ください。
電子書籍のサンプルを読むことはできますか？,はい、対象の本には無料サンプルが用意されています。
電子書籍を印刷できますか？,著作権保護のため、印刷は制限されています。
購入履歴を確認するにはどうすればいいですか？,アカウントページの“購入履歴”タブから確認できます。
メールアドレスを変更するには？,現在メールアドレスの変更には対応しておりません。
パスワードを忘れた場合の対処法を教えてください。,ログインページの“パスワードをお忘れですか？”リンクから再設定してください。
海外からでも利用できますか？,はい、世界中どこからでもご利用いただけます。
購入した電子書籍の著作権はどうなりますか？,電子書籍は個人利用の範囲内でご利用ください。再配布は禁止されています。
ギフトとして電子書籍を購入できますか？,現在ギフト機能は実装されていません。
子供向けの電子書籍はありますか？,はい、キッズセクションをご覧ください。
購入した電子書籍が削除されることはありますか？,利用規約違反がない限り、削除されることはありません。
電子書籍の容量はどのくらいですか？,すべてクラウド上に保存されるので、容量を気にされる必要はありません。
サイトの利用に年齢制限はありますか？,はい、18歳以上の方のみご利用いただけます。
キャンペーン情報を確認するには？,トップページの“キャンペーン”セクションをご覧ください。
オフラインで電子書籍を読むことはできますか？,オフラインで書籍を読むことはできません。
ポイントはどのように使えますか？,購入時にポイントを割引として利用できます。
電子書籍の有効期限はありますか？,購入後、無期限で利用可能です。
ダウンロード回数に制限はありますか？,申し訳ありません。書籍のダウンロードには対応しておりません。
購入をキャンセルできますか？,購入後のキャンセルはできません。
アカウントを削除する方法は？,アカウント設定ページから削除手続きができます。
購入履歴を他人に見られないようにできますか？,はい、プライバシー設定で非表示に設定できます。
お気に入りリストはどう作成しますか？,商品のページで「お気に入りに追加」ボタンを押してください。
検索機能の使い方を教えてください。,検索バーにキーワードを入力し、Enterを押してください。
複数の商品を一度に購入できますか？,はい、カートに追加して一括購入が可能です。
ポイントの有効期限はありますか？,安心してください。ポイントに有効期限はありません。
どのようなジャンルの本がありますか？,フィクション、ノンフィクション、教育、ビジネスなど様々なジャンルがあります。
レビューを投稿する方法は？,商品の詳細ページからレビューを書くことができます。
電子書籍の購入特典はありますか？,特定のキャンペーン時に特典が付く場合があります。
複数アカウントを作成できますか？,複数のアカウントを持つことができますが、商品の共有などはできません。
電子書籍の価格はどのくらいですか？,価格は商品の詳細ページからご確認ください。
学生割引はありますか？,現在は対応しておりません。
購入した電子書籍を削除できますか？,完全な削除はできません。
人気のある本はどこで確認できますか？,トップページの「ランキング」セクションをご覧ください。
返品ポリシーはどこで確認できますか？,申し訳ありません。返品はいかなる場合でも受け付けることはできません。
推奨されるインターネット接続速度は？,最低5Mbps以上を推奨します。
電子書籍を家族と共有できますか？,共有することはできません。
自動で本を整理する機能はありますか？,本の並び替え機能がございます。
特定の著者の本だけを検索するには？,検索バーに著者名を入力してください。
プレビュー機能を使うには？,商品の詳細ページで「プレビューを見る」ボタンを押してください。
購入前にページ数を確認できますか？,ページ数は記載されていませんが、商品ページに文字数が記載されています。
電子書籍の翻訳版を提供していますか？,一部の書籍では翻訳版をご用意しています。
特定の出版社の商品だけを検索するには？,検索バーに出版社名を入力してください。
漫画を購入できますか？,はい、漫画カテゴリーをご覧ください。
購入後に電子書籍のバージョンが更新された場合は？,新しいバージョンが無料でダウンロード可能です。
推奨ブラウザは何ですか？,Google ChromeまたはMicrosoft Edgeを推奨しています。
購入履歴をPDFとして保存できますか？,現在購入履歴のエクスポートには対応しておりません。
読み終わった本を非表示にするにはどうすればよいですか？,読み終わった本などを非表示にする機能は現在対応しておりません。
特定のデバイスでのみ利用可能な書籍はありますか？,すべての書籍はすべてのデバイスで読むことができます。
電子書籍にしおり機能はありますか？,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
本のカテゴリをカスタマイズできますか？,出品時にカテゴリを選択できます。
購入した書籍のリストを共有できますか？,リストの共有はできません。
デジタル著作権管理（DRM）について知りたいのですが。,DRMは書籍の不正コピーを防ぐために導入されています。
シリーズものの本をまとめて購入できますか？,シリーズのセット商品が提供されている場合は可能です。
購入前に電子書籍のサンプルを印刷できますか？,サンプルの印刷はサポートしておりません。
ダークモードでリーダーを使えますか？,ダークモードには対応しておりません。ブラウザの拡張機能を使ってみてはいかがですか？
検索履歴を削除できますか？,アカウント設定から削除可能です。
特定のジャンルの新刊だけを通知してもらうことは可能ですか？,現在はできませんが今後のアップデートで追加予定です。
国ごとに購入可能な本のリストは異なりますか？,すべての書籍はすべての国で利用可能です。
特定の読書ペースに合わせたおすすめ機能はありますか？,申し訳ありません。現在は対応しておりません。
